,Gender,Age,Occupation,Zip-code,Gender_enc,Age_enc,Occupation_enc,Zip-code_enc
152,M,18,4,48104,1,1,4,1600
153,M,1,10,51537,1,0,10,1740
154,M,50,20,94530,1,5,20,3096
155,M,35,12,07470,1,3,12,325
156,F,45,7,14519,0,4,7,613
157,M,35,16,12866,1,3,16,554
158,M,56,7,28754,1,6,7,1024
159,F,45,0,37922,0,4,0,1313
160,M,35,7,13021,1,3,7,556
161,M,45,16,98107-2117,1,4,16,3355
162,F,18,4,93117,0,1,4,3008
163,M,18,4,85013,1,1,4,2632
164,F,56,13,94566,0,6,13,3109
165,M,18,16,98502,1,1,16,3399
166,M,18,4,92802,1,1,4,2984
167,F,25,11,10022,0,2,11,415
168,F,50,0,46970,0,5,0,1567
169,M,25,7,55439,1,2,7,1929
170,M,25,11,07002,1,2,11,303
171,F,50,17,55441,0,5,17,1930
172,M,25,3,07661,1,2,3,332
173,M,25,0,45237,1,2,0,1491
174,M,25,16,21203,1,2,16,848
175,F,25,2,95123,0,2,2,3172
176,F,18,3,55016,0,1,3,1832
177,M,50,1,54016,1,5,1,1805
178,M,56,17,53705,1,6,17,1791
179,M,25,0,02135,1,2,0,101
180,M,45,12,01603,1,4,12,37
181,M,18,17,33186,1,1,17,1201
182,M,18,4,03052,1,1,4,184
183,F,45,1,55407,0,4,1,1902
184,F,25,0,19001,0,2,0,700
185,M,45,0,14468,1,4,0,612
186,M,18,5,91767,1,1,5,2874
187,F,45,1,94061,0,4,1,3042
188,M,56,16,79930,1,6,16,2517
189,M,18,0,60076,1,1,0,2015
190,M,25,17,55125,1,2,17,1871
191,M,18,4,04915,1,1,4,246
192,M,18,1,10977,1,1,1,458
193,F,45,15,44106,0,4,15,1423
194,F,1,10,29146,0,0,10,1030
195,M,25,12,10458,1,2,12,431
196,F,35,9,94587,0,3,9,3113
197,M,18,14,10023,1,1,14,416
198,M,25,12,55108,1,2,12,1855
199,M,18,4,83706,1,1,4,2599
200,F,18,4,84321,0,1,4,2628
201,F,35,2,55117,0,3,2,1863
202,M,18,4,53706,1,1,4,1792
203,F,18,4,53715,0,1,4,1797
204,M,25,7,92123,1,2,7,2927
205,M,35,12,97333,1,3,12,3305
206,M,25,17,20194,1,2,17,797
207,M,25,12,94115,1,2,12,3061
208,M,35,17,55432,1,3,17,1923
209,M,35,1,90048,1,3,1,2763
210,F,1,10,25801,0,0,10,953
211,M,45,17,90620,1,4,17,2802
212,M,25,16,53714,1,2,16,1796
213,F,18,4,01609,0,1,4,42
214,M,18,20,80218,1,1,20,2541
215,M,35,14,92075,1,3,14,2907
216,M,45,13,52761,1,4,13,1753
217,M,18,4,22903,1,1,4,904
218,M,35,14,95822,1,3,14,3225
219,F,25,4,55113,0,2,4,1860
220,M,25,12,22903,1,2,12,904
221,F,25,0,94063,0,2,0,3044
222,M,25,1,55116,1,2,1,1862
223,M,25,17,28262,1,2,17,1012
224,F,18,4,14850,0,1,4,631
225,M,25,7,11215,1,2,7,473
226,M,35,1,94518,1,3,1,3089
227,M,35,20,90291,1,3,20,2789
228,M,25,15,55455,1,2,15,1938
229,M,18,10,04576,1,1,10,242
230,M,45,1,43210,1,4,1,1386
231,M,25,3,55455,1,2,3,1938
232,M,25,20,55408,1,2,20,1903
233,F,45,20,37919-4204,0,4,20,1311
234,M,35,7,39652,1,3,7,1341
235,M,25,0,98153,1,2,0,3372
236,M,25,5,55126,1,2,5,1872
237,M,25,6,46835,1,2,6,1563
238,F,50,7,90291,0,5,7,2789
239,M,18,19,94618,1,1,19,3125
240,M,50,17,55113,1,5,17,1860
241,M,35,20,55121,1,3,20,1867
242,F,18,4,53706,0,1,4,1792
243,M,25,16,11576,1,2,16,496
244,M,50,7,19072,1,5,7,714
245,M,35,16,66046,1,3,16,2203
246,F,18,4,60625,0,1,4,2082
247,M,25,17,94404,1,2,17,3083
248,M,18,17,72703,1,1,17,2284
249,F,18,14,48126,0,1,14,1608
250,M,35,16,11229,1,3,16,478
251,M,56,17,55105,1,6,17,1852
252,M,25,12,94112,1,2,12,3059
253,F,25,11,97370,0,2,11,3309
254,M,35,17,49015,1,3,17,1676
255,M,35,0,85310,1,3,0,2666
256,M,45,16,55076,1,4,16,1843
257,M,18,18,55113,1,1,18,1860
258,M,25,7,55436,1,2,7,1927
259,M,25,1,60615,1,2,1,2079
260,M,18,19,98126,1,1,19,3368
261,M,25,20,75801,1,2,20,2366
262,F,25,1,68503,0,2,1,2238
263,F,25,7,22304,0,2,7,885
264,M,35,0,20755,1,3,0,810
265,F,35,7,55116,0,3,7,1862
266,M,35,11,75229,1,3,11,2355
267,M,45,12,55001,1,4,12,1828
268,F,18,12,29708,0,1,12,1053
269,M,25,2,55408,1,2,2,1903
270,M,50,14,55414,1,5,14,1909
271,M,18,4,48202,1,1,4,1626
272,M,18,0,80302,1,1,0,2553
273,M,18,4,55427,1,1,4,1919
274,M,18,4,55455,1,1,4,1938
275,M,25,0,48162,1,2,0,1616
276,M,45,16,01982,1,4,16,77
277,F,35,1,98126,0,3,1,3368
278,M,45,18,60482,1,4,18,2054
279,M,25,14,91214,1,2,14,2830
280,M,50,7,19118,1,5,7,727
281,F,35,0,94117,0,3,0,3063
282,M,25,17,94401,1,2,17,3080
283,M,25,0,10003,1,2,0,400
284,M,25,12,91910,1,2,12,2885
285,F,35,0,94109,0,3,0,3056
286,M,25,1,54601,1,2,1,1813
287,M,50,13,94706,1,5,13,3130
288,F,25,12,97119,0,2,12,3276
289,F,25,0,11801,0,2,0,514
290,F,25,20,94591,0,2,20,3114
291,M,35,12,55110,1,3,12,1857
292,M,35,7,19406,1,3,7,752
293,M,56,1,55337-4056,1,6,1,1885
294,F,45,9,43147,0,4,9,1382
295,M,18,0,80203,1,1,0,2535
296,M,50,5,89432,1,5,5,2731
297,M,18,2,97211,1,1,2,3288
298,F,18,4,19010,0,1,4,705
299,M,25,12,97370,1,2,12,3309
300,M,25,7,78664,1,2,7,2478
301,M,18,4,61820,1,1,4,2112
302,M,18,4,04901,1,1,4,245
303,M,25,7,20006,1,2,7,775
304,M,25,0,55414,1,2,0,1909
305,F,18,0,55414,0,1,0,1909
306,M,18,0,53051,1,1,0,1757
307,M,50,16,90027,1,5,16,2749
308,M,25,2,10025,1,2,2,418
309,M,25,4,16801,1,2,4,664
310,F,18,4,31207,0,1,4,1118
311,M,18,4,31201,1,1,4,1117
312,F,50,2,22207,0,5,2,882
313,F,18,4,02138,0,1,4,103
314,F,56,9,46911,0,6,9,1565
315,F,56,1,55105,0,6,1,1852
316,M,56,13,90740,1,6,13,2812
317,M,35,7,38555,1,3,7,1332
318,F,56,13,55104,0,6,13,1851
319,F,50,6,33436,0,5,6,1215
320,M,35,6,99516,1,3,6,3432
321,M,18,4,55128,1,1,4,1874
322,M,56,17,55117,1,6,17,1863
323,M,45,12,53716,1,4,12,1798
324,M,35,17,55106,1,3,17,1853
325,F,50,3,55112,0,5,3,1859
326,M,50,11,25302,1,5,11,952
327,M,35,18,55448,1,3,18,1935
328,M,35,12,80401,1,3,12,2556
329,M,35,7,02115,1,3,7,93
330,M,56,7,92065,1,6,7,2905
331,M,25,7,55902,1,2,7,1947
332,M,50,1,55109,1,5,1,1856
333,M,35,2,55410,1,3,2,1905
334,F,56,2,55113,0,6,2,1860
335,M,35,18,55434,1,3,18,1925
336,M,18,0,98765,1,1,0,3414
337,M,18,19,80205,1,1,19,2536
338,M,35,7,55116,1,3,7,1862
339,M,50,7,80207,1,5,7,2538
340,F,25,3,28001,0,2,3,998
341,F,56,13,92119,0,6,13,2923
342,M,18,12,55076,1,1,12,1843
343,F,35,3,55127,0,3,3,1873
344,M,35,14,75034,1,3,14,2329
345,M,25,12,94114,1,2,12,3060
346,F,25,0,55110,0,2,0,1857
347,F,56,1,55305,0,6,1,1878
348,M,50,7,55110,1,5,7,1857
349,M,1,10,08035,1,0,10,355
350,M,45,20,08035,1,4,20,355
351,M,18,4,55105,1,1,4,1852
352,M,18,4,60115,1,1,4,2024
353,F,35,7,92625,0,3,7,2959
354,M,35,1,55117,1,3,1,1863
355,M,18,3,55107,1,1,3,1854
356,M,56,20,55101,1,6,20,1847
357,M,18,0,98103,1,1,0,3352
358,F,56,1,20815,0,6,1,814
359,M,25,17,55128,1,2,17,1874
360,M,35,17,28208,1,3,17,1007
361,F,25,14,94115,0,2,14,3061
362,M,35,20,55407,1,3,20,1902
363,M,18,10,55419,1,1,10,1914
364,F,35,1,46815,0,3,1,1561
365,F,18,4,02138,0,1,4,103
366,M,50,15,55126,1,5,15,1872
367,M,50,12,55421,1,5,12,1915
368,M,25,0,90293,1,2,0,2791
369,M,35,1,55110,1,3,1,1857
370,M,18,17,22304,1,1,17,885
371,M,18,4,02141,1,1,4,106
372,F,18,4,72227,0,1,4,2279
373,F,25,2,55347,0,2,2,1890
374,F,35,14,55346,0,3,14,1889
375,M,25,2,55106,1,2,2,1853
376,M,35,1,80026,1,3,1,2526
377,M,25,17,55418,1,2,17,1913
378,F,18,0,55105,0,1,0,1852
379,F,35,1,54822,0,3,1,1821
380,M,25,2,92024,1,2,2,2895
381,M,35,17,89015,1,3,17,2707
382,F,35,20,66205,0,3,20,2208
383,F,25,7,78757,0,2,7,2498
384,M,25,11,55075,1,2,11,1842
385,M,25,6,68131,1,2,6,2232
386,M,25,0,55408,1,2,0,1903
387,F,35,7,55111,0,3,7,1858
388,F,25,0,10021,0,2,0,414
389,M,25,6,68128,1,2,6,2231
390,M,25,4,55405,1,2,4,1899
391,M,45,11,22122,1,4,11,873
392,M,18,7,20037,1,1,7,782
393,M,35,17,55402,1,3,17,1896
394,M,18,0,55013,1,1,0,1830
395,M,18,5,55104,1,1,5,1851
396,M,25,1,56187,1,2,1,1958
397,M,35,17,22124,1,3,17,874
398,M,25,17,55454,1,2,17,1937
399,F,35,6,55128,0,3,6,1874
400,F,18,3,55422,0,1,3,1916
401,M,18,0,55129,1,1,0,1875
402,M,25,11,55427,1,2,11,1919
403,M,18,4,02138,1,1,4,103
404,M,18,4,10128,1,1,4,428
405,M,56,1,13077,1,6,1,566
406,M,25,20,55105,1,2,20,1852
407,M,18,17,89503,1,1,17,2734
408,M,25,11,02143,1,2,11,108
409,M,18,12,55122,1,1,12,1868
410,F,25,1,55417,0,2,1,1912
411,F,45,1,43214,0,4,1,1389
412,M,35,15,55117,1,3,15,1863
413,M,25,11,55409,1,2,11,1904
414,M,25,0,55317,1,2,0,1882
415,F,35,0,55406,0,3,0,1901
416,M,45,14,55076,1,4,14,1843
417,F,25,0,50613,0,2,0,1737
418,F,25,3,54016,0,2,3,1805
419,M,18,3,55422,1,1,3,1916
420,M,35,1,55406,1,3,1,1901
421,F,45,3,55125,0,4,3,1871
422,M,56,17,55104,1,6,17,1851
423,M,18,4,55455,1,1,4,1938
424,M,25,17,55112,1,2,17,1859
425,M,25,12,55303,1,2,12,1876
426,M,18,4,55455,1,1,4,1938
427,M,35,12,55104,1,3,12,1851
428,F,18,4,55455,0,1,4,1938
429,M,18,0,54901,1,1,0,1823
430,F,18,10,55306,0,1,10,1879
431,M,18,10,55303,1,1,10,1876
432,M,45,16,55306,1,4,16,1879
433,M,50,6,55115,1,5,6,1861
434,F,45,3,98155,0,4,3,3373
435,M,25,7,55125,1,2,7,1871
436,M,18,4,43023,1,1,4,1376
437,M,35,17,55030,1,3,17,1834
438,M,18,11,53705,1,1,11,1791
439,M,35,14,55129,1,3,14,1875
440,M,56,1,32940,1,6,1,1176
441,M,35,1,55127,1,3,1,1873
442,M,25,1,55105,1,2,1,1852
443,M,25,3,55421,1,2,3,1915
444,M,56,0,55108,1,6,0,1855
445,M,45,12,55117,1,4,12,1863
446,F,50,0,55042,0,5,0,1837
447,F,45,11,55105,0,4,11,1852
448,M,25,17,80123,1,2,17,2531
449,M,25,7,85037,1,2,7,2638
450,M,45,1,24523,1,4,1,948
451,M,56,13,54720,1,6,13,1817
452,M,50,17,55117,1,5,17,1863
453,M,18,4,55102,1,1,4,1848
454,M,25,20,55092,1,2,20,1845
455,F,35,2,55113,0,3,2,1860
456,M,35,0,55105,1,3,0,1852
457,M,18,4,54703,1,1,4,1816
458,M,50,16,55405-2546,1,5,16,1900
459,F,18,4,55105,0,1,4,1852
460,M,45,18,55313,1,4,18,1881
461,M,50,7,55075,1,5,7,1842
462,M,18,16,55416,1,1,16,1911
463,M,25,7,55105,1,2,7,1852
464,F,18,4,55455,0,1,4,1938
465,M,18,19,94523,1,1,19,3093
466,M,25,5,55405,1,2,5,1899
467,F,35,3,55075,0,3,3,1842
468,F,1,10,55082,0,0,10,1844
469,M,35,6,55122,1,3,6,1868
470,F,1,10,55068,0,0,10,1840
471,M,35,7,08904,1,3,7,392
472,M,35,0,55418,1,3,0,1913
473,F,18,4,55112,0,1,4,1859
474,M,25,17,92126,1,2,17,2928
475,F,25,2,55421,0,2,2,1915
476,M,35,0,55127,1,3,0,1873
477,M,35,14,55410,1,3,14,1905
478,M,50,16,55113,1,5,16,1860
479,M,25,12,55042,1,2,12,1837
480,F,18,4,55422,0,1,4,1916
481,M,45,7,55115,1,4,7,1861
482,M,25,14,55305,1,2,14,1878
483,M,18,12,55105,1,1,12,1852
484,F,1,10,55104,0,0,10,1851
485,M,56,7,55042,1,6,7,1837
486,M,56,0,91367,1,6,0,2852
487,F,35,17,55082,0,3,17,1844
488,M,25,12,55107,1,2,12,1854
489,M,18,4,55455,1,1,4,1938
490,M,1,10,55345,1,0,10,1888
491,M,18,4,56043,1,1,4,1955
492,M,25,12,55112,1,2,12,1859
493,M,50,7,55016,1,5,7,1832
494,F,35,0,17870,0,3,0,685
495,M,18,10,55421,1,1,10,1915
496,M,18,4,55455,1,1,4,1938
497,F,25,17,55412,0,2,17,1907
498,M,35,17,55113,1,3,17,1860
499,F,25,1,55108,0,2,1,1855
500,F,18,2,55105,0,1,2,1852
501,M,25,2,55372,1,2,2,1892
502,M,35,6,55126,1,3,6,1872
503,M,35,11,73120,1,3,11,2300
504,M,25,2,17003,1,2,2,668
505,M,35,17,37815,1,3,17,1302
506,M,25,16,55103-1006,1,2,16,1850
507,F,25,0,55405,0,2,0,1899
508,M,25,12,55418,1,2,12,1913
509,M,25,2,55125,1,2,2,1871
510,M,18,12,55109,1,1,12,1856
511,F,45,4,15232,0,4,4,648
512,M,35,0,55379,1,3,0,1893
513,M,25,0,55119,1,2,0,1865
514,M,25,2,55113,1,2,2,1860
515,M,25,1,55406,1,2,1,1901
516,F,56,14,55033,0,6,14,1835
517,F,25,14,55408,0,2,14,1903
518,F,35,12,75240,0,3,12,2357
519,F,35,14,55038,0,3,14,1836
520,F,35,20,55104,0,3,20,1851
521,M,56,7,55105,1,6,7,1852
522,M,25,12,55124,1,2,12,1870
523,M,50,7,55105,1,5,7,1852
524,M,18,0,91320,1,1,0,2837
525,M,35,6,19027,1,3,6,707
526,M,45,17,94806,1,4,17,3136
527,F,25,2,11201,0,2,2,468
528,F,18,17,83843,0,1,17,2603
529,M,35,12,92009,1,3,12,2890
530,M,25,2,10019,1,2,2,412
531,F,18,14,22206,0,1,14,881
532,M,25,7,94301,1,2,7,3075
533,M,25,12,27514,1,2,12,977
534,M,25,15,55902,1,2,15,1947
535,M,35,6,95370,1,3,6,3188
536,M,25,20,01267,1,2,20,19
537,M,45,14,07704,1,4,14,337
538,M,56,16,95407,1,6,16,3195
539,M,25,2,55103,1,2,2,1849
540,M,18,1,15213,1,1,1,646
541,F,18,4,5849574,0,1,4,1978
542,M,18,4,78705,1,1,4,2484
543,M,25,5,55057,1,2,5,1838
544,M,35,12,94538,1,3,12,3099
545,M,35,17,01890,1,3,17,68
546,F,25,0,37211,0,2,0,1290
547,M,35,12,76109,1,3,12,2376
548,F,35,16,96860,0,3,16,3262
549,M,25,6,53217,1,2,6,1774
550,M,45,8,21559,1,4,8,857
551,M,35,20,55116,1,3,20,1862
552,M,50,18,23456,1,5,18,930
553,M,25,2,94131,1,2,2,3070
554,M,25,12,94086,1,2,12,3048
555,M,18,4,53213,1,1,4,1772
556,F,25,9,37221,0,2,9,1292
557,M,56,1,30030,1,6,1,1060
558,M,35,20,55108,1,3,20,1855
559,F,25,7,60422,0,2,7,2044
560,M,45,15,81335,1,4,15,2584
561,F,18,14,64060,0,1,14,2172
562,M,35,20,48083,1,3,20,1592
563,M,25,4,53703,1,2,4,1789
564,M,45,1,49419,1,4,1,1691
565,M,25,16,45242,1,2,16,1494
566,M,25,17,92122,1,2,17,2926
567,M,35,20,52570-9634,1,3,20,1752
568,F,50,17,19716,0,5,17,764
569,F,18,4,97339,0,1,4,3306
570,M,25,4,33314,1,2,4,1207
571,M,50,5,95401,1,5,5,3191
572,M,18,4,61801,1,1,4,2111
573,F,35,2,98119,0,3,2,3364
574,M,25,19,90214,1,2,19,2774
575,M,25,12,92130,1,2,12,2930
576,F,45,15,20910,0,4,15,830
577,M,35,0,02115,1,3,0,93
578,M,18,17,90064,1,1,17,2765
579,M,25,5,32839,1,2,5,1173
580,M,1,10,08534,1,0,10,369
581,M,50,14,73543,1,5,14,2304
582,M,18,4,67042,1,1,4,2218
583,F,25,0,48067,0,2,0,1588
584,F,25,0,94403,0,2,0,3082
585,M,18,1,53703,1,1,1,1789
586,M,35,14,53092,1,3,14,1759
587,M,25,20,92649,1,2,20,2967
588,F,25,11,23220,0,2,11,918
589,M,18,2,90210,1,1,2,2771
590,F,35,6,98032,0,3,6,3336
591,M,25,0,76201,1,2,0,2380
592,M,18,0,92103,1,1,0,2912
593,F,50,1,91711,0,5,1,2869
594,F,56,13,60076,0,6,13,2015
595,M,25,7,10019,1,2,7,412
596,F,25,1,01950,0,2,1,75
597,M,35,12,80206,1,3,12,2537
598,M,35,7,95476,1,3,7,3203
599,M,50,6,53711,1,5,6,1794
600,M,35,17,66209,1,3,17,2210
601,F,18,20,06320,0,1,20,273
602,F,56,6,14612,0,6,6,617
603,F,25,6,32256,0,2,6,1141
604,M,45,17,32256,1,4,17,1141
605,F,18,4,44425,0,1,4,1457
606,F,1,10,49507,0,0,10,1704
607,M,25,0,43614,1,2,0,1409
608,M,18,4,18011,1,1,4,687
609,M,25,7,10012,1,2,7,406
610,M,25,4,77025,1,2,4,2400
611,M,35,0,20715,1,3,0,804
612,M,50,7,95020,1,5,7,3156
613,M,35,20,10562,1,3,20,443
614,M,35,1,90024,1,3,1,2746
615,M,50,17,32951,1,5,17,1177
616,M,25,7,94115,1,2,7,3061
617,F,25,7,92117,0,2,7,2922
618,M,25,0,74105,1,2,0,2311
619,F,18,1,94706,0,1,1,3130
620,M,18,0,13210,1,1,0,580
621,M,18,4,93560,1,1,4,3019
622,M,25,0,92612,1,2,0,2954
623,M,25,17,60555,1,2,17,2066
624,M,25,1,75207,1,2,1,2351
625,F,35,12,44106,0,3,12,1423
626,M,18,4,77005,1,1,4,2392
627,M,50,2,97210,1,5,2,3287
628,F,35,0,20715,0,3,0,804
629,F,1,10,48154,0,0,10,1615
630,F,35,14,80525,0,3,14,2563
631,M,35,17,28601,1,3,17,1019
632,M,45,17,07649,1,4,17,329
633,M,25,17,94131,1,2,17,3070
634,F,1,10,49512,0,0,10,1706
635,M,56,17,33785,1,6,17,1232
636,M,18,20,92055,1,1,20,2902
637,M,35,12,97132,1,3,12,3279
638,M,25,6,77584,1,2,6,2441
639,M,45,17,85202,1,4,17,2642
640,M,18,4,47406,1,1,4,1575
641,F,35,0,55116,0,3,0,1862
642,F,35,1,78155,0,3,1,2455
643,M,25,2,23188,1,2,2,917
644,M,25,20,93704,1,2,20,3022
645,M,35,20,11215,1,3,20,473
646,M,35,7,08505,1,3,7,368
647,M,35,12,85224,1,3,12,2648
648,F,25,12,94131,0,2,12,3070
649,M,25,4,80526,1,2,4,2564
650,M,25,17,49445,1,2,17,1695
651,M,35,7,20895,1,3,7,827
652,M,18,20,12222,1,1,20,532
653,M,56,13,92660,1,6,13,2969
654,M,50,7,75023,1,5,7,2328
655,F,25,2,92629,0,2,2,2962
656,F,45,16,92106,0,4,16,2915
657,F,50,13,34691,0,5,13,1252
658,F,25,0,10021,0,2,0,414
659,F,25,0,28134,0,2,0,1005
660,M,45,16,70507,1,4,16,2258
661,M,45,1,13114,1,4,1,570
662,M,18,4,99163,1,1,4,3423
663,F,25,7,12345,0,2,7,537
664,M,35,18,74601,1,3,18,2321
665,M,18,2,13317,1,1,2,587
666,F,18,0,08540,0,1,0,370
667,M,25,18,98438,1,2,18,3392
668,F,25,3,22042,0,2,3,867
669,M,25,17,30307,1,2,17,1089
670,M,25,12,30303,1,2,12,1086
671,M,18,4,61761,1,1,4,2110
672,M,35,7,46845,1,3,7,1564
673,M,25,20,10023,1,2,20,416
674,M,25,17,22042,1,2,17,867
675,M,25,20,02048,1,2,20,82
676,M,18,16,55129,1,1,16,1875
677,M,50,2,94122,1,5,2,3067
678,M,25,0,34952,1,2,0,1257
679,M,35,16,29681,1,3,16,1051
680,M,25,12,37013,1,2,12,1277
681,M,35,7,30501,1,3,7,1104
682,M,25,4,27510,1,2,4,974
683,M,25,4,27514,1,2,4,977
684,M,25,4,27510,1,2,4,974
685,M,25,4,27514,1,2,4,977
686,M,18,4,27514,1,1,4,977
687,F,25,7,14136,0,2,7,601
688,M,56,13,13407,1,6,13,590
689,F,50,0,48103,0,5,0,1597
690,M,25,12,90717,1,2,12,2809
691,M,35,11,96813,1,3,11,3254
692,F,25,0,85207,0,2,0,2644
693,M,35,12,98103,1,3,12,3352
694,M,18,4,76401,1,1,4,2386
695,F,18,1,04240,0,1,1,232
696,M,25,12,94114,1,2,12,3060
697,F,50,6,97330,0,5,6,3303
698,M,18,4,76401,1,1,4,2386
699,M,18,0,73505,1,1,0,2303
700,M,50,17,14650,1,5,17,624
701,F,18,4,01002,0,1,4,7
