,Title,Genres,Title_enc,Genres_enc
52,Mighty Aphrodite (1995),Comedy,2273,176
53,Lamerica (1994),Drama,1952,239
54,"Big Green, The (1995)",Children's|Comedy,395,160
55,Georgia (1995),Drama,1359,239
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,1897,115
57,Home for the Holidays (1995),Drama,1630,239
58,"Postino, Il (The Postman) (1994)",Drama|Romance,2758,252
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,775,248
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,1758,115
61,Eye for an Eye (1996),Drama|Thriller,1127,260
62,Mr. Holland's Opus (1995),Drama,2344,239
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,992,176
64,Two if by Sea (1996),Comedy|Romance,3638,207
65,Bio-Dome (1996),Comedy,411,176
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,1982,295
67,Two Bits (1995),Drama,3627,239
68,French Twist (Gazon maudit) (1995),Comedy|Romance,1296,207
69,Friday (1995),Comedy,1300,176
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,1317,46
71,Fair Game (1995),Action,1141,0
72,Kicking and Screaming (1995),Comedy|Drama,1889,185
73,"Misérables, Les (1995)",Drama|Musical,2303,246
74,Bed of Roses (1996),Drama|Romance,334,252
75,Big Bully (1996),Comedy|Drama,388,185
76,Screamers (1995),Sci-Fi|Thriller,3053,295
77,Nico Icon (1995),Documentary,2473,235
78,"Crossing Guard, The (1995)",Drama,831,239
79,"Juror, The (1996)",Drama|Thriller,1869,260
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,3783,239
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,3481,222
82,Antonia's Line (Antonia) (1995),Drama,189,239
83,Once Upon a Time... When We Were Colored (1995),Drama,2566,239
84,Last Summer in the Hamptons (1995),Comedy|Drama,1970,185
85,Angels and Insects (1995),Drama|Romance,176,252
86,White Squall (1996),Adventure|Drama,3789,126
87,Dunston Checks In (1996),Children's|Comedy,1039,160
88,Black Sheep (1996),Comedy,427,176
89,Nick of Time (1995),Action|Thriller,2472,92
90,"Journey of August King, The (1995)",Drama,1848,239
92,Mary Reilly (1996),Drama|Thriller,2200,260
93,Vampire in Brooklyn (1995),Comedy|Romance,3679,207
94,Beautiful Girls (1996),Drama,328,239
95,Broken Arrow (1996),Action|Thriller,556,92
96,In the Bleak Midwinter (1995),Comedy,1744,176
97,"Hate (Haine, La) (1995)",Drama,1545,239
98,Shopping (1994),Action|Thriller,3127,92
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,1574,235
100,City Hall (1996),Drama|Thriller,712,260
101,Bottle Rocket (1996),Comedy,501,176
102,Mr. Wrong (1996),Comedy,2353,176
103,Unforgettable (1996),Thriller,3659,298
104,Happy Gilmore (1996),Comedy,1526,176
105,"Bridges of Madison County, The (1995)",Drama|Romance,545,252
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,2510,185
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,2374,111
108,Catwalk (1995),Documentary,642,235
109,Headless Body in Topless Bar (1995),Comedy,1555,176
110,Braveheart (1995),Action|Drama|War,525,73
111,Taxi Driver (1976),Drama|Thriller,3435,260
112,Rumble in the Bronx (1995),Action|Adventure|Crime,2993,16
113,Before and After (1996),Drama|Mystery,341,248
114,Margaret's Museum (1995),Drama,2188,239
115,Happiness Is in the Field (1995),Comedy,1525,176
116,Anne Frank Remembered (1995),Documentary,184,235
117,"Young Poisoner's Handbook, The (1995)",Crime,3872,216
118,If Lucy Fell (1996),Comedy|Romance,1726,207
119,"Steal Big, Steal Little (1995)",Comedy,3315,176
120,Race the Sun (1996),Drama,2840,239
121,"Boys of St. Vincent, The (1993)",Drama,514,239
122,Boomerang (1992),Comedy|Romance,491,207
123,Chungking Express (1994),Drama|Mystery|Romance,699,249
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,3293,239
125,Flirting With Disaster (1996),Comedy,1238,176
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,2457,115
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,3135,239
128,Jupiter's Wife (1994),Documentary,1867,235
129,Pie in the Sky (1995),Comedy|Romance,2703,207
130,Angela (1995),Drama,174,239
131,Frankie Starlight (1995),Drama|Romance,1284,252
132,Jade (1995),Thriller,1811,298
133,Nueba Yol (1995),Comedy|Drama,2528,185
134,Sonic Outlaws (1995),Documentary,3237,235
135,Down Periscope (1996),Comedy,1004,176
136,From the Journals of Jean Seberg (1995),Documentary,1321,235
137,Man of the Year (1995),Documentary,2172,235
138,"Neon Bible, The (1995)",Drama,2449,239
139,Target (1995),Action|Drama,3429,64
140,Up Close and Personal (1996),Drama|Romance,3670,252
141,"Birdcage, The (1996)",Comedy,414,176
142,Shadows (Cienie) (1988),Drama,3095,239
143,Gospa (1995),Drama,1442,239
144,"Brothers McMullen, The (1995)",Comedy,566,176
145,Bad Boys (1995),Action,270,0
146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,127,106
147,"Basketball Diaries, The (1995)",Drama,302,239
148,"Awfully Big Adventure, An (1995)",Drama,246,239
149,Amateur (1994),Crime|Drama|Thriller,126,225
150,Apollo 13 (1995),Drama,198,239
151,Rob Roy (1995),Drama|Romance|War,2943,255
152,"Addiction, The (1995)",Horror,54,274
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,309,10
154,Belle de jour (1967),Drama,349,239
155,Beyond Rangoon (1995),Drama|War,378,262
156,Blue in the Face (1995),Comedy,471,176
157,Canadian Bacon (1994),Comedy|War,605,214
158,Casper (1995),Adventure|Children's,631,106
159,Clockers (1995),Drama,734,239
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,777,28
161,Crimson Tide (1995),Drama|Thriller|War,823,261
162,Crumb (1994),Documentary,841,235
163,Desperado (1995),Action|Romance|Thriller,942,84
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,954,228
165,Die Hard: With a Vengeance (1995),Action|Thriller,965,92
166,"Doom Generation, The (1995)",Comedy|Drama,995,185
167,Feast of July (1995),Drama,1187,239
168,First Knight (1995),Action|Adventure|Drama|Romance,1215,20
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,1289,112
170,Hackers (1995),Action|Crime|Thriller,1500,63
171,Jeffrey (1995),Comedy,1829,176
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,1845,87
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,1853,33
174,Jury Duty (1995),Comedy,1870,176
175,Kids (1995),Drama,1894,239
176,Living in Oblivion (1995),Comedy,2054,176
177,Lord of Illusions (1995),Horror,2071,274
178,Love & Human Remains (1993),Comedy,2088,176
179,Mad Love (1995),Drama|Romance,2131,252
180,Mallrats (1995),Comedy,2153,176
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,2277,41
182,Moonlight and Valentino (1995),Drama|Romance,2329,252
183,Mute Witness (1994),Thriller,2386,298
184,Nadja (1994),Drama,2426,239
185,"Net, The (1995)",Sci-Fi|Thriller,2450,295
186,Nine Months (1995),Comedy,2500,176
187,Party Girl (1995),Comedy,2643,176
188,"Prophecy, The (1995)",Horror,2805,274
189,Reckless (1995),Comedy,2877,176
190,Safe (1995),Thriller,3014,298
191,"Scarlet Letter, The (1995)",Drama,3039,239
192,"Show, The (1995)",Documentary,3129,235
193,Showgirls (1995),Drama,3131,239
194,Smoke (1995),Drama,3193,239
195,Something to Talk About (1995),Comedy|Drama|Romance,3226,187
196,Species (1995),Horror|Sci-Fi,3260,278
197,"Stars Fell on Henrietta, The (1995)",Drama,3311,239
198,Strange Days (1995),Action|Crime|Sci-Fi,3341,62
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,3647,246
200,"Tie That Binds, The (1995)",Thriller,3516,298
201,Three Wishes (1995),Drama,3507,239
202,Total Eclipse (1995),Drama|Romance,3563,252
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,3546,176
204,Under Siege 2: Dark Territory (1995),Action,3652,0
205,Unstrung Heroes (1995),Comedy|Drama,3666,185
206,Unzipped (1995),Documentary,3669,235
207,"Walk in the Clouds, A (1995)",Drama|Romance,3719,252
208,Waterworld (1995),Action|Adventure,3739,1
209,White Man's Burden (1995),Drama,3786,239
210,Wild Bill (1995),Western,3801,300
211,"Browning Version, The (1994)",Drama,569,239
212,Bushwhacked (1995),Comedy,585,176
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,583,239
214,Before the Rain (Pred dozhdot) (1994),Drama,342,239
215,Before Sunrise (1995),Drama|Romance,340,252
216,Billy Madison (1995),Comedy,408,176
217,"Babysitter, The (1995)",Drama|Thriller,260,260
218,Boys on the Side (1995),Comedy|Drama,515,185
219,"Cure, The (1995)",Drama,850,239
220,Castle Freak (1995),Horror,633,274
222,Circle of Friends (1995),Drama|Romance,706,252
223,Clerks (1994),Comedy,731,176
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,991,187
225,Disclosure (1994),Drama|Thriller,977,260
226,Dream Man (1995),Thriller,1016,298
227,Drop Zone (1994),Action,1026,0
228,Destiny Turns on the Radio (1995),Comedy,946,176
229,Death and the Maiden (1994),Drama|Thriller,918,260
230,Dolores Claiborne (1994),Drama|Thriller,990,260
231,Dumb & Dumber (1994),Comedy,1036,176
232,Eat Drink Man Woman (1994),Comedy|Drama,1054,185
233,Exotica (1994),Drama,1123,239
234,Exit to Eden (1994),Comedy,1119,176
235,Ed Wood (1994),Comedy|Drama,1058,185
236,French Kiss (1995),Comedy|Romance,1295,207
237,Forget Paris (1995),Comedy|Romance,1273,207
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's,1160,106
239,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance,1439,148
240,Hideaway (1995),Thriller,1599,298
241,Fluke (1995),Children's|Drama,1242,167
242,Farinelli: il castrato (1994),Drama|Musical,1167,246
243,Gordy (1995),Comedy,1441,176
244,Gumby: The Movie (1995),Animation|Children's,1492,144
245,"Glass Shield, The (1994)",Crime|Drama,1394,217
246,Hoop Dreams (1994),Documentary,1641,235
247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,1569,241
248,Houseguest (1994),Comedy,1667,176
249,Immortal Beloved (1994),Drama|Romance,1732,252
250,Heavyweights (1994),Children's|Comedy,1572,160
251,"Hunted, The (1995)",Action,1686,0
252,I.Q. (1994),Comedy|Romance,1719,207
253,Interview with the Vampire (1994),Drama|Horror,1777,244
254,Jefferson in Paris (1995),Drama,1828,239
255,"Jerky Boys, The (1994)",Comedy,1833,176
256,Junior (1994),Comedy|Sci-Fi,1864,211
257,Just Cause (1995),Mystery|Thriller,1871,289
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance,1890,109
259,Kiss of Death (1995),Crime|Drama|Thriller,1925,225
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,3305,24
261,Little Women (1994),Drama,2047,239
262,"Little Princess, A (1995)",Children's|Drama,2041,167
263,Ladybird Ladybird (1994),Drama,1949,239
264,"Enfer, L' (1994)",Drama,1088,239
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,2022,252
266,Legends of the Fall (1994),Drama|Romance|War|Western,1996,256
267,Major Payne (1994),Comedy,2147,176
268,Little Odessa (1994),Drama,2040,239
269,My Crazy Life (Mi vida loca) (1993),Drama,2397,239
270,Love Affair (1994),Drama|Romance,2090,252
271,Losing Isaiah (1995),Drama,2078,239
272,"Madness of King George, The (1994)",Drama,2140,239
273,Mary Shelley's Frankenstein (1994),Drama|Horror,2201,244
274,Man of the House (1995),Comedy,2171,176
275,Mixed Nuts (1994),Comedy,2305,176
276,Milk Money (1994),Comedy|Romance,2282,207
277,Miracle on 34th Street (1994),Drama,2290,239
278,Miami Rhapsody (1995),Comedy,2260,176
279,My Family (1995),Drama,2400,239
280,Murder in the First (1995),Drama|Thriller,2378,260
281,Nobody's Fool (1994),Drama,2511,239
282,Nell (1994),Drama,2446,239
283,New Jersey Drive (1995),Crime|Drama,2460,217
284,New York Cop (1996),Action|Crime,2462,56
285,Beyond Bedlam (1993),Drama|Horror,377,244
286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller,2448,87
287,Nina Takes a Lover (1994),Comedy|Romance,2498,207
288,Natural Born Killers (1994),Action|Thriller,2438,92
289,Only You (1994),Comedy|Romance,2580,207
290,Once Were Warriors (1994),Crime|Drama,2567,217
291,Poison Ivy II (1995),Thriller,2730,298
292,Outbreak (1995),Action|Drama|Thriller,2606,71
293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller,2796,223
294,"Perez Family, The (1995)",Comedy|Romance,2667,207
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,2826,207
296,Pulp Fiction (1994),Crime|Drama,2814,217
297,Panther (1995),Drama,2626,239
298,Pushing Hands (1992),Comedy,2824,176
299,Priest (1994),Drama,2777,239
300,Quiz Show (1994),Drama,2839,239
301,Picture Bride (1995),Drama|Romance,2701,252
302,Queen Margot (La Reine Margot) (1994),Drama|Romance,2831,252
303,"Quick and the Dead, The (1995)",Action|Adventure|Western,2836,39
304,Roommates (1995),Comedy|Drama,2974,185
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,2870,176
306,Three Colors: Red (1994),Drama,3500,239
307,Three Colors: Blue (1993),Drama,3499,239
308,Three Colors: White (1994),Drama,3501,239
309,"Red Firecracker, Green Firecracker (1994)",Drama,2881,239
310,Rent-a-Kid (1995),Comedy,2899,176
311,Relative Fear (1994),Horror|Thriller,2890,280
312,Stuart Saves His Family (1995),Comedy,3356,176
313,"Swan Princess, The (1994)",Animation|Children's,3392,144
314,"Secret of Roan Inish, The (1994)",Drama,3067,239
315,"Specialist, The (1994)",Action,3258,0
316,Stargate (1994),Action|Adventure|Sci-Fi,3309,33
317,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,3025,162
318,"Shawshank Redemption, The (1994)",Drama,3114,239
319,Shallow Grave (1994),Thriller,3107,298
320,Suture (1993),Film-Noir|Thriller,3390,273
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,3347,239
322,Swimming with Sharks (1995),Comedy|Drama,3398,185
324,"Sum of Us, The (1994)",Comedy,3369,176
325,National Lampoon's Senior Trip (1995),Comedy,2436,176
326,To Live (Huozhe) (1994),Drama,3544,239
327,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi,3425,50
328,Tales From the Crypt Presents: Demon Knight (1995),Horror,3413,274
329,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,3300,33
330,Tales from the Hood (1995),Comedy|Horror,3416,196
331,Tom & Viv (1994),Drama,3548,239
332,Village of the Damned (1995),Horror|Sci-Fi,3702,278
333,Tommy Boy (1995),Comedy,3554,176
334,Vanya on 42nd Street (1994),Drama,3683,239
335,"Underneath, The (1995)",Mystery|Thriller,3657,289
336,"Walking Dead, The (1995)",Drama|War,3723,262
337,What's Eating Gilbert Grape (1993),Drama,3766,239
338,Virtuosity (1995),Sci-Fi|Thriller,3705,295
339,While You Were Sleeping (1995),Comedy|Romance,3781,207
340,"War, The (1994)",Adventure|Drama,3733,126
341,Double Happiness (1994),Drama,998,239
342,Muriel's Wedding (1994),Comedy|Romance,2381,207
343,"Baby-Sitters Club, The (1995)",Children's,256,159
344,Ace Ventura: Pet Detective (1994),Comedy,44,176
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,61,185
346,Backbeat (1993),Drama|Musical,268,246
347,Bitter Moon (1992),Drama,417,239
348,Bullets Over Broadway (1994),Comedy,580,176
349,Clear and Present Danger (1994),Action|Adventure|Thriller,729,37
350,"Client, The (1994)",Drama|Mystery|Thriller,732,251
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,795,187
352,Crooklyn (1994),Comedy,828,176
353,"Crow, The (1994)",Action|Romance|Thriller,833,84
354,Cobb (1994),Drama,743,239
355,"Flintstones, The (1994)",Children's|Comedy,1235,160
356,Forrest Gump (1994),Comedy|Romance|War,1274,210
357,Four Weddings and a Funeral (1994),Comedy|Romance,1277,207
358,Higher Learning (1995),Drama,1607,239
359,I Like It Like That (1994),Comedy|Drama|Romance,1701,187
360,I Love Trouble (1994),Action|Comedy,1702,43
361,It Could Happen to You (1994),Drama|Romance,1795,252
362,"Jungle Book, The (1994)",Adventure|Children's|Romance,1861,118
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary,3841,235
364,"Lion King, The (1994)",Animation|Children's|Musical,2028,152
365,Little Buddha (1993),Drama,2033,239
366,Wes Craven's New Nightmare (1994),Horror,3756,274
367,"Mask, The (1994)",Comedy|Crime|Fantasy,2204,180
368,Maverick (1994),Action|Comedy|Western,2217,55
369,Mrs. Parker and the Vicious Circle (1994),Drama,2358,239
370,Naked Gun 33 1/3: The Final Insult (1994),Comedy,2429,176
371,"Paper, The (1994)",Comedy|Drama,2628,185
372,Reality Bites (1994),Comedy|Drama,2873,185
373,Red Rock West (1992),Thriller,2882,298
374,Richie Rich (1994),Children's|Comedy,2927,160
375,Safe Passage (1994),Drama,3016,239
376,"River Wild, The (1994)",Action|Thriller,2937,92
377,Speed (1994),Action|Romance|Thriller,3263,84
378,Speechless (1994),Comedy|Romance,3262,207
379,Timecop (1994),Action|Sci-Fi,3527,86
380,True Lies (1994),Action|Adventure|Comedy|Romance,3604,13
381,When a Man Loves a Woman (1994),Drama,3774,239
382,Wolf (1994),Drama|Horror,3832,244
383,Wyatt Earp (1994),Western,3853,300
384,Bad Company (1995),Action,271,0
385,"Man of No Importance, A (1994)",Drama,2169,239
386,S.F.W. (1994),Drama,3006,239
387,"Low Down Dirty Shame, A (1994)",Action|Comedy,2115,43
388,Boys Life (1995),Drama,510,239
389,"Colonel Chabert, Le (1994)",Drama|Romance|War,751,255
390,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama,1172,47
391,Jason's Lyric (1994),Crime|Drama,1821,217
392,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Children's,3062,106
393,Street Fighter (1994),Action,3348,0
394,Coldblooded (1995),Action,749,0
395,Desert Winds (1995),Drama,940,239
396,Fall Time (1995),Drama,1146,239
397,"Fear, The (1995)",Horror,1185,274
398,Frank and Ollie (1995),Documentary,1281,235
399,Girl in the Cadillac (1995),Drama,1387,239
400,Homage (1995),Drama,1624,239
401,Mirage (1995),Action|Thriller,2291,92
402,Open Season (1996),Comedy,2581,176
403,Two Crimes (1995),Comedy|Crime|Drama,3628,178
404,Brother Minister: The Assassination of Malcolm X (1994),Documentary,562,235
405,Highlander III: The Sorcerer (1994),Action|Sci-Fi,1609,86
406,Federal Hill (1994),Drama,1188,239
407,In the Mouth of Madness (1995),Horror|Thriller,1749,280
408,8 Seconds (1994),Drama,33,239
409,Above the Rim (1994),Drama,40,239
410,Addams Family Values (1993),Comedy,51,176
411,You So Crazy (1994),Comedy,3866,176
412,"Age of Innocence, The (1993)",Drama,72,239
413,Airheads (1994),Comedy,82,176
414,"Air Up There, The (1994)",Comedy,81,176
415,Another Stakeout (1993),Comedy|Thriller,188,213
416,Bad Girls (1994),Western,272,300
417,Barcelona (1994),Comedy|Romance,295,207
418,Being Human (1993),Drama,343,239
419,"Beverly Hillbillies, The (1993)",Comedy,373,176
420,Beverly Hills Cop III (1994),Action|Comedy,374,43
421,Black Beauty (1994),Adventure|Children's,420,106
422,Blink (1994),Thriller,443,298
423,Blown Away (1994),Action|Thriller,460,92
424,Blue Chips (1994),Drama,463,239
425,Blue Sky (1994),Drama|Romance,468,252
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,481,279
427,Boxing Helena (1993),Mystery|Romance|Thriller,505,286
428,"Bronx Tale, A (1993)",Drama,561,239
429,Cabin Boy (1994),Comedy,597,176
430,Calendar Girl (1993),Drama,601,239
431,Carlito's Way (1993),Crime|Drama,616,217
432,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western,714,215
433,Clean Slate (1994),Comedy,727,176
434,Cliffhanger (1993),Action|Adventure|Crime,733,16
435,Coneheads (1993),Comedy|Sci-Fi,774,211
436,Color of Night (1994),Drama|Thriller,755,260
437,Cops and Robbersons (1994),Comedy,793,176
438,"Cowboy Way, The (1994)",Action|Comedy,805,43
439,Dangerous Game (1993),Drama,874,239
440,Dave (1993),Comedy|Romance,887,207
441,Dazed and Confused (1993),Comedy,896,176
442,Demolition Man (1993),Action|Sci-Fi,935,86
443,"Endless Summer 2, The (1994)",Documentary,1084,235
444,Even Cowgirls Get the Blues (1993),Comedy|Romance,1104,207
445,Fatal Instinct (1993),Comedy,1175,176
446,Farewell My Concubine (1993),Drama|Romance,1164,252
447,"Favor, The (1994)",Comedy|Romance,1181,207
448,Fearless (1993),Drama,1186,239
449,Fear of a Black Hat (1993),Comedy,1184,176
450,With Honors (1994),Comedy|Drama,3827,185
451,Flesh and Bone (1993),Drama|Mystery|Romance,1230,249
452,Widows' Peak (1994),Drama,3798,239
453,For Love or Money (1993),Comedy,1258,176
454,"Firm, The (1993)",Drama|Thriller,1212,260
455,Free Willy (1993),Adventure|Children's|Drama,1288,112
456,Fresh (1994),Drama,1299,239
457,"Fugitive, The (1993)",Action|Thriller,1322,92
458,Geronimo: An American Legend (1993),Drama|Western,1361,263
459,"Getaway, The (1994)",Action,1369,0
460,Getting Even with Dad (1994),Comedy,1371,176
461,Go Fish (1994),Drama|Romance,1403,252
462,"Good Man in Africa, A (1994)",Action|Adventure,1430,1
463,Guilty as Sin (1993),Crime|Drama|Thriller,1489,225
464,Hard Target (1993),Action|Adventure|Crime|Thriller,1534,18
465,Heaven & Earth (1993),Action|Drama|War,1564,73
466,Hot Shots! Part Deux (1993),Action|Comedy|War,1650,54
467,Live Nude Girls (1995),Comedy,2049,176
468,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",Comedy|Romance,1090,207
469,"House of the Spirits, The (1993)",Drama|Romance,1664,252
470,House Party 3 (1994),Comedy,1659,176
471,"Hudsucker Proxy, The (1994)",Comedy|Romance,1679,207
472,I'll Do Anything (1994),Comedy|Drama,1714,185
473,In the Army Now (1994),Comedy|War,1743,214
474,In the Line of Fire (1993),Action|Thriller,1748,92
475,In the Name of the Father (1993),Drama,1750,239
476,"Inkwell, The (1994)",Comedy|Drama,1766,185
477,What's Love Got to Do with It? (1993),Drama,3767,239
478,Jimmy Hollywood (1994),Comedy,1839,176
479,Judgment Night (1993),Action,1854,0
480,Jurassic Park (1993),Action|Adventure|Sci-Fi,1868,33
481,Kalifornia (1993),Drama|Thriller,1874,260
482,Killing Zoe (1994),Thriller,1906,298
483,King of the Hill (1993),Drama,1922,239
484,Lassie (1994),Adventure|Children's,1957,106
485,Last Action Hero (1993),Action|Comedy,1958,43
486,Life with Mikey (1993),Comedy,2015,176
487,Lightning Jack (1994),Comedy|Western,2021,215
488,M. Butterfly (1993),Drama,2123,239
489,Made in America (1993),Comedy,2138,176
490,Malice (1993),Thriller,2152,298
491,"Man Without a Face, The (1993)",Drama,2162,239
492,Manhattan Murder Mystery (1993),Comedy|Mystery,2179,203
493,Menace II Society (1993),Action|Crime|Drama,2247,57
494,Executive Decision (1996),Action|Thriller,1118,92
495,In the Realm of the Senses (Ai no corrida) (1976),Drama,1751,239
496,What Happened Was... (1994),Comedy|Drama|Romance,3763,187
497,Much Ado About Nothing (1993),Comedy|Romance,2360,207
498,Mr. Jones (1993),Drama|Romance,2346,252
499,Mr. Wonderful (1993),Comedy|Romance,2352,207
500,Mrs. Doubtfire (1993),Comedy,2356,176
501,Naked (1993),Drama,2427,239
502,"Next Karate Kid, The (1994)",Action|Children's,2467,41
503,"New Age, The (1994)",Drama,2459,239
504,No Escape (1994),Action|Sci-Fi,2505,86
505,North (1994),Comedy,2513,176
506,Orlando (1993),Drama,2592,239
507,"Perfect World, A (1993)",Action|Drama,2672,64
508,Philadelphia (1993),Drama,2693,239
509,"Piano, The (1993)",Drama|Romance,2698,252
510,Poetic Justice (1993),Drama,2727,239
511,"Program, The (1993)",Action|Drama,2797,64
512,Robert A. Heinlein's The Puppet Masters (1994),Horror|Sci-Fi,2944,278
513,Radioland Murders (1994),Comedy|Mystery|Romance,2842,204
514,"Ref, The (1994)",Comedy,2887,176
515,"Remains of the Day, The (1993)",Drama,2894,239
516,Renaissance Man (1994),Comedy|Drama|War,2896,190
517,Rising Sun (1993),Action|Drama|Mystery,2934,66
518,"Road to Wellville, The (1994)",Comedy,2941,176
519,Robocop 3 (1993),Sci-Fi|Thriller,2950,295
520,Robin Hood: Men in Tights (1993),Comedy,2946,176
521,Romeo Is Bleeding (1993),Crime|Thriller,2966,234
522,Romper Stomper (1992),Action|Drama,2969,64
523,Ruby in Paradise (1993),Drama,2987,239
524,Rudy (1993),Drama,2989,239
525,"Saint of Fort Washington, The (1993)",Drama,3017,239
